DATE,SURPRISE_STD,TIME_EST,DATETIME,DATETIME_CET
03-Feb-2000 00:00:00,0.160747072743195,08:30,03-Feb-2000 08:30:00,03-Feb-2000 14:30:00
10-Feb-2000 00:00:00,1.49972359533959,08:30,10-Feb-2000 08:30:00,10-Feb-2000 14:30:00
17-Feb-2000 00:00:00,-0.105417464371443,08:30,17-Feb-2000 08:30:00,17-Feb-2000 14:30:00
24-Feb-2000 00:00:00,-0.320329311625932,08:30,24-Feb-2000 08:30:00,24-Feb-2000 14:30:00
02-Mar-2000 00:00:00,-0.262087618603035,08:30,02-Mar-2000 08:30:00,02-Mar-2000 14:30:00
09-Mar-2000 00:00:00,0.131043809301518,08:30,09-Mar-2000 08:30:00,09-Mar-2000 14:30:00
16-Mar-2000 00:00:00,-0.997097784551993,08:30,16-Mar-2000 08:30:00,16-Mar-2000 14:30:00
23-Mar-2000 00:00:00,-0.31549525110503,08:30,23-Mar-2000 08:30:00,23-Mar-2000 14:30:00
30-Mar-2000 00:00:00,-0.185791000743041,08:30,30-Mar-2000 08:30:00,30-Mar-2000 15:30:00
06-Apr-2000 00:00:00,-0.633087203158888,08:30,06-Apr-2000 08:30:00,06-Apr-2000 14:30:00
13-Apr-2000 00:00:00,-0.110659216743503,08:30,13-Apr-2000 08:30:00,13-Apr-2000 14:30:00
20-Apr-2000 00:00:00,-0.456731356685556,08:30,20-Apr-2000 08:30:00,20-Apr-2000 14:30:00
27-Apr-2000 00:00:00,1.28685020734091,08:30,27-Apr-2000 08:30:00,27-Apr-2000 14:30:00
04-May-2000 00:00:00,1.82704191012827,08:30,04-May-2000 08:30:00,04-May-2000 14:30:00
11-May-2000 00:00:00,0.516603817113095,08:30,11-May-2000 08:30:00,11-May-2000 14:30:00
18-May-2000 00:00:00,-0.815383702320555,08:30,18-May-2000 08:30:00,18-May-2000 14:30:00
25-May-2000 00:00:00,0.42359183335553,08:30,25-May-2000 08:30:00,25-May-2000 14:30:00
01-Jun-2000 00:00:00,0.291208465114484,08:30,01-Jun-2000 08:30:00,01-Jun-2000 14:30:00
08-Jun-2000 00:00:00,1.33955893952663,08:30,08-Jun-2000 08:30:00,08-Jun-2000 14:30:00
15-Jun-2000 00:00:00,0.232966772091587,08:30,15-Jun-2000 08:30:00,15-Jun-2000 14:30:00
22-Jun-2000 00:00:00,0.422252274416002,08:30,22-Jun-2000 08:30:00,22-Jun-2000 14:30:00
29-Jun-2000 00:00:00,0.351896309244341,08:30,29-Jun-2000 08:30:00,29-Jun-2000 14:30:00
06-Jul-2000 00:00:00,-0.465933544183174,08:30,06-Jul-2000 08:30:00,06-Jul-2000 14:30:00
13-Jul-2000 00:00:00,0.877061655231804,08:30,13-Jul-2000 08:30:00,13-Jul-2000 14:30:00
20-Jul-2000 00:00:00,-0.116483386045794,08:30,20-Jul-2000 08:30:00,20-Jul-2000 14:30:00
27-Jul-2000 00:00:00,-1.57252571161821,08:30,27-Jul-2000 08:30:00,27-Jul-2000 14:30:00
03-Aug-2000 00:00:00,-0.404255591271925,08:30,03-Aug-2000 08:30:00,03-Aug-2000 14:30:00
10-Aug-2000 00:00:00,0.404896249895178,08:30,10-Aug-2000 08:30:00,10-Aug-2000 14:30:00
17-Aug-2000 00:00:00,1.23874256890399,08:30,17-Aug-2000 08:30:00,17-Aug-2000 14:30:00
24-Aug-2000 00:00:00,0.423009416425298,08:30,24-Aug-2000 08:30:00,24-Aug-2000 14:30:00
31-Aug-2000 00:00:00,0.465933544183174,08:30,31-Aug-2000 08:30:00,31-Aug-2000 14:30:00
07-Sep-2000 00:00:00,0.113571301394648,08:30,07-Sep-2000 08:30:00,07-Sep-2000 14:30:00
14-Sep-2000 00:00:00,0.4873664872156,08:30,14-Sep-2000 08:30:00,14-Sep-2000 14:30:00
21-Sep-2000 00:00:00,-0.511536789820103,08:30,21-Sep-2000 08:30:00,21-Sep-2000 14:30:00
28-Sep-2000 00:00:00,-1.48976426583268,08:30,28-Sep-2000 08:30:00,28-Sep-2000 14:30:00
05-Oct-2000 00:00:00,0.0110659216743503,08:30,05-Oct-2000 08:30:00,05-Oct-2000 14:30:00
12-Oct-2000 00:00:00,0.264708494789067,08:30,12-Oct-2000 08:30:00,12-Oct-2000 14:30:00
19-Oct-2000 00:00:00,0.254399715124013,08:30,19-Oct-2000 08:30:00,19-Oct-2000 14:30:00
26-Oct-2000 00:00:00,-0.134188860724753,08:30,26-Oct-2000 08:30:00,26-Oct-2000 14:30:00
02-Nov-2000 00:00:00,0.843689165129682,08:30,02-Nov-2000 08:30:00,02-Nov-2000 14:30:00
09-Nov-2000 00:00:00,1.98994392551331,08:30,09-Nov-2000 08:30:00,09-Nov-2000 14:30:00
16-Nov-2000 00:00:00,0.496568674713219,08:30,16-Nov-2000 08:30:00,16-Nov-2000 14:30:00
23-Nov-2000 00:00:00,0.923538526264076,08:30,23-Nov-2000 08:30:00,23-Nov-2000 14:30:00
30-Nov-2000 00:00:00,1.48929833228849,08:30,30-Nov-2000 08:30:00,30-Nov-2000 14:30:00
07-Dec-2000 00:00:00,0.452479713094885,08:30,07-Dec-2000 08:30:00,07-Dec-2000 14:30:00
14-Dec-2000 00:00:00,-1.57252571161821,08:30,14-Dec-2000 08:30:00,14-Dec-2000 14:30:00
21-Dec-2000 00:00:00,1.10659216743504,08:30,21-Dec-2000 08:30:00,21-Dec-2000 14:30:00
28-Dec-2000 00:00:00,-1.28131724650373,08:30,28-Dec-2000 08:30:00,28-Dec-2000 14:30:00
04-Jan-2001 00:00:00,1.93304179142994,08:30,04-Jan-2001 08:30:00,04-Jan-2001 14:30:00
11-Jan-2001 00:00:00,-1.78918480966339,08:30,11-Jan-2001 08:30:00,11-Jan-2001 14:30:00
18-Jan-2001 00:00:00,-3.00527135998147,08:30,18-Jan-2001 08:30:00,18-Jan-2001 14:30:00
25-Jan-2001 00:00:00,-1.13571301394649,08:30,25-Jan-2001 08:30:00,25-Jan-2001 14:30:00
01-Feb-2001 00:00:00,1.6821365778873,08:30,01-Feb-2001 08:30:00,01-Feb-2001 14:30:00
08-Feb-2001 00:00:00,0.579970779122008,08:30,08-Feb-2001 08:30:00,08-Feb-2001 14:30:00
15-Feb-2001 00:00:00,-0.349450158137381,08:30,15-Feb-2001 08:30:00,15-Feb-2001 14:30:00
22-Feb-2001 00:00:00,-0.218406348835863,08:30,22-Feb-2001 08:30:00,22-Feb-2001 14:30:00
01-Mar-2001 00:00:00,1.23693707642028,08:30,01-Mar-2001 08:30:00,01-Mar-2001 14:30:00
08-Mar-2001 00:00:00,0.490220330173721,08:30,08-Mar-2001 08:30:00,08-Mar-2001 14:30:00
15-Mar-2001 00:00:00,0.498548892275997,08:30,15-Mar-2001 08:30:00,15-Mar-2001 14:30:00
22-Mar-2001 00:00:00,0.200060215533651,08:30,22-Mar-2001 08:30:00,22-Mar-2001 14:30:00
29-Mar-2001 00:00:00,-0.815383702320555,08:30,29-Mar-2001 08:30:00,29-Mar-2001 15:30:00
05-Apr-2001 00:00:00,0.66849815251681,08:30,05-Apr-2001 08:30:00,05-Apr-2001 14:30:00
12-Apr-2001 00:00:00,0.704724485577052,08:30,12-Apr-2001 08:30:00,12-Apr-2001 14:30:00
19-Apr-2001 00:00:00,-0.0748988172274453,08:30,19-Apr-2001 08:30:00,19-Apr-2001 14:30:00
26-Apr-2001 00:00:00,1.21515468322972,08:30,26-Apr-2001 08:30:00,26-Apr-2001 14:30:00
03-May-2001 00:00:00,1.19133383078335,08:30,03-May-2001 08:30:00,03-May-2001 14:30:00
10-May-2001 00:00:00,-1.97101537528087,08:30,10-May-2001 08:30:00,10-May-2001 14:30:00
17-May-2001 00:00:00,-0.862559473669101,08:30,17-May-2001 08:30:00,17-May-2001 14:30:00
24-May-2001 00:00:00,1.07397681934222,08:30,24-May-2001 08:30:00,24-May-2001 14:30:00
31-May-2001 00:00:00,0.736174999809414,08:30,31-May-2001 08:30:00,31-May-2001 14:30:00
07-Jun-2001 00:00:00,0.867801226041161,08:30,07-Jun-2001 08:30:00,07-Jun-2001 14:30:00
14-Jun-2001 00:00:00,0.423009416425298,08:30,14-Jun-2001 08:30:00,14-Jun-2001 14:30:00
21-Jun-2001 00:00:00,-1.6976288682314,08:30,21-Jun-2001 08:30:00,21-Jun-2001 14:30:00
28-Jun-2001 00:00:00,-1.63076740464111,08:30,28-Jun-2001 08:30:00,28-Jun-2001 14:30:00
05-Jul-2001 00:00:00,0.134188860724753,08:30,05-Jul-2001 08:30:00,05-Jul-2001 14:30:00
12-Jul-2001 00:00:00,2.88709896483802,08:30,12-Jul-2001 08:30:00,12-Jul-2001 14:30:00
19-Jul-2001 00:00:00,-0.136751495217762,08:30,19-Jul-2001 08:30:00,19-Jul-2001 14:30:00
26-Jul-2001 00:00:00,-2.41289510024559,08:30,26-Jul-2001 08:30:00,26-Jul-2001 14:30:00
02-Aug-2001 00:00:00,-2.53351364649601,08:30,02-Aug-2001 08:30:00,02-Aug-2001 14:30:00
09-Aug-2001 00:00:00,0.621264139475238,08:30,09-Aug-2001 08:30:00,09-Aug-2001 14:30:00
16-Aug-2001 00:00:00,-0.887079226431741,08:30,16-Aug-2001 08:30:00,16-Aug-2001 14:30:00
23-Aug-2001 00:00:00,0.0512526898601489,08:30,23-Aug-2001 08:30:00,23-Aug-2001 14:30:00
30-Aug-2001 00:00:00,0.0655219046507589,08:30,30-Aug-2001 08:30:00,30-Aug-2001 14:30:00
06-Sep-2001 00:00:00,0.155330595292064,08:30,06-Sep-2001 08:30:00,06-Sep-2001 14:30:00
