"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"49","EUREON2Y=",2015-12-03,"09:48:00",-0.35025,2015-12-03 09:48:00,2015-12-03 10:48:00,"10:48:00"
"50","EUREON2Y=",2015-12-03,"09:49:00",-0.3499,2015-12-03 09:49:00,2015-12-03 10:49:00,"10:49:00"
"51","EUREON2Y=",2015-12-03,"09:50:00",-0.3499,2015-12-03 09:50:00,2015-12-03 10:50:00,"10:50:00"
"52","EUREON2Y=",2015-12-03,"09:51:00",-0.35005,2015-12-03 09:51:00,2015-12-03 10:51:00,"10:51:00"
"53","EUREON2Y=",2015-12-03,"09:52:00",-0.3497,2015-12-03 09:52:00,2015-12-03 10:52:00,"10:52:00"
"54","EUREON2Y=",2015-12-03,"09:53:00",-0.34935,2015-12-03 09:53:00,2015-12-03 10:53:00,"10:53:00"
"55","EUREON2Y=",2015-12-03,"09:54:00",-0.3495,2015-12-03 09:54:00,2015-12-03 10:54:00,"10:54:00"
"56","EUREON2Y=",2015-12-03,"09:55:00",-0.348,2015-12-03 09:55:00,2015-12-03 10:55:00,"10:55:00"
"57","EUREON2Y=",2015-12-03,"09:56:00",-0.3498,2015-12-03 09:56:00,2015-12-03 10:56:00,"10:56:00"
"58","EUREON2Y=",2015-12-03,"09:57:00",-0.34945,2015-12-03 09:57:00,2015-12-03 10:57:00,"10:57:00"
"59","EUREON2Y=",2015-12-03,"09:58:00",-0.34955,2015-12-03 09:58:00,2015-12-03 10:58:00,"10:58:00"
"60","EUREON2Y=",2015-12-03,"09:59:00",-0.347,2015-12-03 09:59:00,2015-12-03 10:59:00,"10:59:00"
"61","EUREON2Y=",2015-12-03,"10:00:00",-0.34995,2015-12-03 10:00:00,2015-12-03 11:00:00,"11:00:00"
"62","EUREON2Y=",2015-12-03,"10:01:00",-0.3502,2015-12-03 10:01:00,2015-12-03 11:01:00,"11:01:00"
"63","EUREON2Y=",2015-12-03,"10:02:00",-0.35,2015-12-03 10:02:00,2015-12-03 11:02:00,"11:02:00"
"64","EUREON2Y=",2015-12-03,"10:03:00",-0.35,2015-12-03 10:03:00,2015-12-03 11:03:00,"11:03:00"
"65","EUREON2Y=",2015-12-03,"10:04:00",-0.35045,2015-12-03 10:04:00,2015-12-03 11:04:00,"11:04:00"
"66","EUREON2Y=",2015-12-03,"10:05:00",-0.3505,2015-12-03 10:05:00,2015-12-03 11:05:00,"11:05:00"
"67","EUREON2Y=",2015-12-03,"10:06:00",-0.35035,2015-12-03 10:06:00,2015-12-03 11:06:00,"11:06:00"
"68","EUREON2Y=",2015-12-03,"10:07:00",-0.35035,2015-12-03 10:07:00,2015-12-03 11:07:00,"11:07:00"
"69","EUREON2Y=",2015-12-03,"10:08:00",-0.348,2015-12-03 10:08:00,2015-12-03 11:08:00,"11:08:00"
"70","EUREON2Y=",2015-12-03,"10:09:00",-0.349,2015-12-03 10:09:00,2015-12-03 11:09:00,"11:09:00"
"71","EUREON2Y=",2015-12-03,"10:10:00",-0.347,2015-12-03 10:10:00,2015-12-03 11:10:00,"11:10:00"
"72","EUREON2Y=",2015-12-03,"10:11:00",-0.348,2015-12-03 10:11:00,2015-12-03 11:11:00,"11:11:00"
"73","EUREON2Y=",2015-12-03,"10:12:00",-0.349,2015-12-03 10:12:00,2015-12-03 11:12:00,"11:12:00"
"74","EUREON2Y=",2015-12-03,"10:13:00",-0.3506,2015-12-03 10:13:00,2015-12-03 11:13:00,"11:13:00"
"75","EUREON2Y=",2015-12-03,"10:14:00",-0.3503,2015-12-03 10:14:00,2015-12-03 11:14:00,"11:14:00"
"76","EUREON2Y=",2015-12-03,"10:15:00",-0.351,2015-12-03 10:15:00,2015-12-03 11:15:00,"11:15:00"
"77","EUREON2Y=",2015-12-03,"10:16:00",-0.35045,2015-12-03 10:16:00,2015-12-03 11:16:00,"11:16:00"
"78","EUREON2Y=",2015-12-03,"10:17:00",-0.35005,2015-12-03 10:17:00,2015-12-03 11:17:00,"11:17:00"
"79","EUREON2Y=",2015-12-03,"10:18:00",-0.351,2015-12-03 10:18:00,2015-12-03 11:18:00,"11:18:00"
"80","EUREON2Y=",2015-12-03,"10:19:00",-0.349,2015-12-03 10:19:00,2015-12-03 11:19:00,"11:19:00"
"81","EUREON2Y=",2015-12-03,"10:20:00",-0.349,2015-12-03 10:20:00,2015-12-03 11:20:00,"11:20:00"
"82","EUREON2Y=",2015-12-03,"10:21:00",-0.35,2015-12-03 10:21:00,2015-12-03 11:21:00,"11:21:00"
"83","EUREON2Y=",2015-12-03,"10:22:00",-0.34995,2015-12-03 10:22:00,2015-12-03 11:22:00,"11:22:00"
"84","EUREON2Y=",2015-12-03,"10:23:00",-0.35005,2015-12-03 10:23:00,2015-12-03 11:23:00,"11:23:00"
"85","EUREON2Y=",2015-12-03,"10:24:00",-0.3501,2015-12-03 10:24:00,2015-12-03 11:24:00,"11:24:00"
"86","EUREON2Y=",2015-12-03,"10:25:00",-0.35,2015-12-03 10:25:00,2015-12-03 11:25:00,"11:25:00"
"87","EUREON2Y=",2015-12-03,"10:26:00",-0.35,2015-12-03 10:26:00,2015-12-03 11:26:00,"11:26:00"
"88","EUREON2Y=",2015-12-03,"10:27:00",-0.3501,2015-12-03 10:27:00,2015-12-03 11:27:00,"11:27:00"
"89","EUREON2Y=",2015-12-03,"10:28:00",-0.346,2015-12-03 10:28:00,2015-12-03 11:28:00,"11:28:00"
"90","EUREON2Y=",2015-12-03,"10:29:00",-0.351,2015-12-03 10:29:00,2015-12-03 11:29:00,"11:29:00"
"91","EUREON2Y=",2015-12-03,"10:30:00",-0.35,2015-12-03 10:30:00,2015-12-03 11:30:00,"11:30:00"
"92","EUREON2Y=",2015-12-03,"10:31:00",-0.34985,2015-12-03 10:31:00,2015-12-03 11:31:00,"11:31:00"
"93","EUREON2Y=",2015-12-03,"10:32:00",-0.348,2015-12-03 10:32:00,2015-12-03 11:32:00,"11:32:00"
"94","EUREON2Y=",2015-12-03,"10:33:00",-0.3497,2015-12-03 10:33:00,2015-12-03 11:33:00,"11:33:00"
"95","EUREON2Y=",2015-12-03,"10:34:00",-0.34965,2015-12-03 10:34:00,2015-12-03 11:34:00,"11:34:00"
"96","EUREON2Y=",2015-12-03,"10:35:00",-0.349,2015-12-03 10:35:00,2015-12-03 11:35:00,"11:35:00"
"97","EUREON2Y=",2015-12-03,"10:36:00",-0.349,2015-12-03 10:36:00,2015-12-03 11:36:00,"11:36:00"
"98","EUREON2Y=",2015-12-03,"10:37:00",-0.3497,2015-12-03 10:37:00,2015-12-03 11:37:00,"11:37:00"
"99","EUREON2Y=",2015-12-03,"10:38:00",-0.349,2015-12-03 10:38:00,2015-12-03 11:38:00,"11:38:00"
"100","EUREON2Y=",2015-12-03,"10:39:00",-0.3497,2015-12-03 10:39:00,2015-12-03 11:39:00,"11:39:00"
"101","EUREON2Y=",2015-12-03,"10:40:00",-0.3498,2015-12-03 10:40:00,2015-12-03 11:40:00,"11:40:00"
"102","EUREON2Y=",2015-12-03,"10:41:00",-0.34975,2015-12-03 10:41:00,2015-12-03 11:41:00,"11:41:00"
"103","EUREON2Y=",2015-12-03,"10:42:00",-0.34965,2015-12-03 10:42:00,2015-12-03 11:42:00,"11:42:00"
"104","EUREON2Y=",2015-12-03,"10:43:00",-0.34965,2015-12-03 10:43:00,2015-12-03 11:43:00,"11:43:00"
"105","EUREON2Y=",2015-12-03,"10:44:00",-0.35,2015-12-03 10:44:00,2015-12-03 11:44:00,"11:44:00"
"106","EUREON2Y=",2015-12-03,"10:45:00",-0.3497,2015-12-03 10:45:00,2015-12-03 11:45:00,"11:45:00"
"107","EUREON2Y=",2015-12-03,"10:46:00",-0.349,2015-12-03 10:46:00,2015-12-03 11:46:00,"11:46:00"
"108","EUREON2Y=",2015-12-03,"10:47:00",-0.351,2015-12-03 10:47:00,2015-12-03 11:47:00,"11:47:00"
"109","EUREON2Y=",2015-12-03,"10:48:00",-0.34965,2015-12-03 10:48:00,2015-12-03 11:48:00,"11:48:00"
"110","EUREON2Y=",2015-12-03,"10:49:00",-0.3498,2015-12-03 10:49:00,2015-12-03 11:49:00,"11:49:00"
"111","EUREON2Y=",2015-12-03,"10:50:00",-0.35,2015-12-03 10:50:00,2015-12-03 11:50:00,"11:50:00"
"112","EUREON2Y=",2015-12-03,"10:51:00",-0.351,2015-12-03 10:51:00,2015-12-03 11:51:00,"11:51:00"
"113","EUREON2Y=",2015-12-03,"10:52:00",-0.35,2015-12-03 10:52:00,2015-12-03 11:52:00,"11:52:00"
"114","EUREON2Y=",2015-12-03,"10:53:00",-0.349,2015-12-03 10:53:00,2015-12-03 11:53:00,"11:53:00"
"115","EUREON2Y=",2015-12-03,"10:54:00",-0.349,2015-12-03 10:54:00,2015-12-03 11:54:00,"11:54:00"
"116","EUREON2Y=",2015-12-03,"10:55:00",-0.3485,2015-12-03 10:55:00,2015-12-03 11:55:00,"11:55:00"
"117","EUREON2Y=",2015-12-03,"10:56:00",-0.3497,2015-12-03 10:56:00,2015-12-03 11:56:00,"11:56:00"
"118","EUREON2Y=",2015-12-03,"10:57:00",-0.34975,2015-12-03 10:57:00,2015-12-03 11:57:00,"11:57:00"
"119","EUREON2Y=",2015-12-03,"10:58:00",-0.34965,2015-12-03 10:58:00,2015-12-03 11:58:00,"11:58:00"
"120","EUREON2Y=",2015-12-03,"10:59:00",-0.349,2015-12-03 10:59:00,2015-12-03 11:59:00,"11:59:00"
"121","EUREON2Y=",2015-12-03,"11:00:00",-0.3497,2015-12-03 11:00:00,2015-12-03 12:00:00,"12:00:00"
