"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"50","EUREON2Y=",2013-07-04,"08:49:00",0.267,2013-07-04 08:49:00,2013-07-04 10:49:00,"10:49:00"
"51","EUREON2Y=",2013-07-04,"08:50:00",0.265,2013-07-04 08:50:00,2013-07-04 10:50:00,"10:50:00"
"52","EUREON2Y=",2013-07-04,"08:51:00",0.266,2013-07-04 08:51:00,2013-07-04 10:51:00,"10:51:00"
"53","EUREON2Y=",2013-07-04,"08:52:00",0.265,2013-07-04 08:52:00,2013-07-04 10:52:00,"10:52:00"
"54","EUREON2Y=",2013-07-04,"08:53:00",0.272,2013-07-04 08:53:00,2013-07-04 10:53:00,"10:53:00"
"55","EUREON2Y=",2013-07-04,"08:54:00",0.266,2013-07-04 08:54:00,2013-07-04 10:54:00,"10:54:00"
"56","EUREON2Y=",2013-07-04,"08:55:00",0.269,2013-07-04 08:55:00,2013-07-04 10:55:00,"10:55:00"
"57","EUREON2Y=",2013-07-04,"08:56:00",0.269,2013-07-04 08:56:00,2013-07-04 10:56:00,"10:56:00"
"58","EUREON2Y=",2013-07-04,"08:57:00",0.269,2013-07-04 08:57:00,2013-07-04 10:57:00,"10:57:00"
"59","EUREON2Y=",2013-07-04,"08:58:00",0.2685,2013-07-04 08:58:00,2013-07-04 10:58:00,"10:58:00"
"60","EUREON2Y=",2013-07-04,"08:59:00",0.27,2013-07-04 08:59:00,2013-07-04 10:59:00,"10:59:00"
"61","EUREON2Y=",2013-07-04,"09:00:00",0.268,2013-07-04 09:00:00,2013-07-04 11:00:00,"11:00:00"
"62","EUREON2Y=",2013-07-04,"09:01:00",0.267,2013-07-04 09:01:00,2013-07-04 11:01:00,"11:01:00"
"63","EUREON2Y=",2013-07-04,"09:02:00",0.2675,2013-07-04 09:02:00,2013-07-04 11:02:00,"11:02:00"
"64","EUREON2Y=",2013-07-04,"09:03:00",0.267,2013-07-04 09:03:00,2013-07-04 11:03:00,"11:03:00"
"65","EUREON2Y=",2013-07-04,"09:04:00",0.263,2013-07-04 09:04:00,2013-07-04 11:04:00,"11:04:00"
"66","EUREON2Y=",2013-07-04,"09:05:00",0.2675,2013-07-04 09:05:00,2013-07-04 11:05:00,"11:05:00"
"67","EUREON2Y=",2013-07-04,"09:06:00",0.2685,2013-07-04 09:06:00,2013-07-04 11:06:00,"11:06:00"
"68","EUREON2Y=",2013-07-04,"09:07:00",0.266,2013-07-04 09:07:00,2013-07-04 11:07:00,"11:07:00"
"69","EUREON2Y=",2013-07-04,"09:08:00",0.265,2013-07-04 09:08:00,2013-07-04 11:08:00,"11:08:00"
"70","EUREON2Y=",2013-07-04,"09:09:00",0.264,2013-07-04 09:09:00,2013-07-04 11:09:00,"11:09:00"
"71","EUREON2Y=",2013-07-04,"09:10:00",0.265,2013-07-04 09:10:00,2013-07-04 11:10:00,"11:10:00"
"72","EUREON2Y=",2013-07-04,"09:11:00",0.264,2013-07-04 09:11:00,2013-07-04 11:11:00,"11:11:00"
"73","EUREON2Y=",2013-07-04,"09:12:00",0.265,2013-07-04 09:12:00,2013-07-04 11:12:00,"11:12:00"
"74","EUREON2Y=",2013-07-04,"09:13:00",0.2655,2013-07-04 09:13:00,2013-07-04 11:13:00,"11:13:00"
"75","EUREON2Y=",2013-07-04,"09:14:00",0.267,2013-07-04 09:14:00,2013-07-04 11:14:00,"11:14:00"
"76","EUREON2Y=",2013-07-04,"09:15:00",0.262,2013-07-04 09:15:00,2013-07-04 11:15:00,"11:15:00"
"77","EUREON2Y=",2013-07-04,"09:16:00",0.263,2013-07-04 09:16:00,2013-07-04 11:16:00,"11:16:00"
"78","EUREON2Y=",2013-07-04,"09:17:00",0.264,2013-07-04 09:17:00,2013-07-04 11:17:00,"11:17:00"
"79","EUREON2Y=",2013-07-04,"09:18:00",0.264,2013-07-04 09:18:00,2013-07-04 11:18:00,"11:18:00"
"80","EUREON2Y=",2013-07-04,"09:19:00",0.266,2013-07-04 09:19:00,2013-07-04 11:19:00,"11:19:00"
"81","EUREON2Y=",2013-07-04,"09:20:00",0.266,2013-07-04 09:20:00,2013-07-04 11:20:00,"11:20:00"
"82","EUREON2Y=",2013-07-04,"09:21:00",0.265,2013-07-04 09:21:00,2013-07-04 11:21:00,"11:21:00"
"83","EUREON2Y=",2013-07-04,"09:22:00",0.261,2013-07-04 09:22:00,2013-07-04 11:22:00,"11:22:00"
"84","EUREON2Y=",2013-07-04,"09:23:00",0.262,2013-07-04 09:23:00,2013-07-04 11:23:00,"11:23:00"
"85","EUREON2Y=",2013-07-04,"09:24:00",0.264,2013-07-04 09:24:00,2013-07-04 11:24:00,"11:24:00"
"86","EUREON2Y=",2013-07-04,"09:25:00",0.264,2013-07-04 09:25:00,2013-07-04 11:25:00,"11:25:00"
"87","EUREON2Y=",2013-07-04,"09:26:00",0.264,2013-07-04 09:26:00,2013-07-04 11:26:00,"11:26:00"
"88","EUREON2Y=",2013-07-04,"09:27:00",0.2615,2013-07-04 09:27:00,2013-07-04 11:27:00,"11:27:00"
"89","EUREON2Y=",2013-07-04,"09:28:00",0.26,2013-07-04 09:28:00,2013-07-04 11:28:00,"11:28:00"
