		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
										
			Jan-02/Dec-07			Jan-08/Dec-13			Jan-14/Sep-18	
VARIABLES	LABELS	IT 2Y	IT 5Y	IT 10Y	IT 2Y	IT 5Y	IT 10Y	IT 2Y	IT 5Y	IT 10Y
										
ratefactor1	Target	0.10	-0.03	-0.06	0.45**	0.39**	0.16	0.99***	0.85**	0.80
		(0.11)	(0.12)	(0.09)	(0.20)	(0.19)	(0.12)	(0.34)	(0.42)	(0.62)
										
Observations		72	72	72	71	71	71	42	42	42
R-squared		0.04	0.00	0.03	0.22	0.16	0.05	0.12	0.10	0.08
