"Estimate","Std. Error","R2","mat"
0.00332797803780576,0.000769123237089703,0.547897516458163,"1M"
0.00836512084307845,0.000408547044596337,0.8670626001482,"3M"
0.01,0.000908274163235622,0.703320517053105,"6M"
0.0116940269797097,0.00161987549555006,0.50048345087158,"1Y"
0.0101235979896961,0.00190578857553092,0.295739588917594,"2Y"
0.00679586927082482,0.00179723279406918,0.147286628221717,"5Y"
0.00357856566558911,0.000921001578233483,0.0948313596896474,"10Y"
