"1M","3M","6M","1Y","2Y","5Y","10Y","Date","RateFactor1"
0.00499999999999989,0.0150000000000001,-0.00249999999999995,-0.0100000000000002,-0.0100000000000002,-0.0110000000000001,-0.016,2002-01-03,0.805551646593176
0.0124999999999997,0.00999999999999979,0.0150000000000001,0.0274999999999999,0.0249999999999999,0.0250000000000004,0.00950000000000007,2002-02-07,0.816127851435132
-0.00250000000000039,0.00999999999999979,0.00499999999999989,0.00999999999999979,0.0124999999999993,0.00150000000000006,-0.00199999999999978,2002-03-07,-0.107033854369197
0,0.00499999999999989,0.00500000000000034,0,0.00500000000000078,-0.0024999999999995,-0.00150000000000006,2002-04-04,0.0339109104762288
0.00999999999999979,0,0.00499999999999989,0.00449999999999973,0,0.00349999999999984,0.00300000000000011,2002-05-02,0.582897904663786
-0.02,-0.00999999999999979,-0.00700000000000012,-0.0150000000000001,-0.00999999999999979,0.00350000000000072,0.00250000000000039,2002-06-06,-1.8474294080088
0,-0.00749999999999984,0.00249999999999995,0.00200000000000022,0.00499999999999989,0.00350000000000072,0.000999999999999446,2002-07-04,-0.514872788488059
0.0125000000000002,0,-0.00300000000000011,-0.00200000000000022,-0.00999999999999979,-0.00400000000000045,-0.00549999999999962,2002-08-01,0.744594325636568
-0.00249999999999995,-0.000499999999999723,-0.00249999999999995,0.0100000000000002,0.00499999999999989,0.000499999999999723,0,2002-09-12,-0.51723403779932
0.0299999999999998,0.0175000000000001,0.0129999999999999,0,-0.0124999999999997,-0.00950000000000007,-0.0110000000000001,2002-10-10,2.92381652481265
0.0865,0.0499999999999998,0.0375000000000001,0.0234999999999999,0.0105,0.00199999999999978,-0.00399999999999956,2002-11-07,8.01489963756224
-0.0514999999999999,-0.0350000000000001,-0.024,-0.00300000000000011,0.012,0.0244999999999997,0.0209999999999999,2002-12-05,-5.59766076402772
0.00499999999999989,0.00099999999999989,0.00250000000000039,0.0109999999999997,0.012,0.0150000000000001,0.0115000000000007,2003-01-09,0.0377475129924216
0.024,0.0169999999999999,0.0150000000000001,0.00500000000000034,0.00499999999999989,-0.00350000000000028,-0.00649999999999995,2003-02-06,2.25460933519313
0.0844999999999998,0.0500000000000003,0.0300000000000003,0.0100000000000002,-0.0149999999999997,-0.0169999999999999,-0.0139999999999998,2003-03-06,8.19589341937082
0.0299999999999998,0.00500000000000034,0.00750000000000028,0.00700000000000012,0.000500000000000167,0.00150000000000006,0,2003-04-03,2.1394023327416
0.00950000000000006,0,0.000500000000000167,-0.0100000000000002,-0.02,-0.0204999999999997,-0.0195000000000003,2003-05-08,0.766979385944245
-0.0449999999999999,-0.0430000000000002,-0.0250000000000004,-0.0250000000000001,-0.0194999999999999,-0.0379999999999998,-0.036,2003-06-05,-5.04819100819151
0.00249999999999995,-0.000500000000000167,-0.00499999999999989,-0.00500000000000012,-0.00749999999999984,-0.00749999999999984,-0.00550000000000006,2003-07-10,0.00224227312000482
0,0.0100000000000002,0.00249999999999995,0.00749999999999984,0.00500000000000034,0.00300000000000011,0.00300000000000011,2003-07-31,0.167880544330346
0.00550000000000006,-0.00499999999999989,-0.00749999999999984,0.00300000000000011,0.000500000000000167,0.00500000000000034,0.00300000000000011,2003-09-04,-0.164526974987542
0.00499999999999989,0.00499999999999989,-0.00249999999999995,-0.00750000000000028,-0.00700000000000012,-0.00450000000000017,-0.00600000000000023,2003-10-02,0.408256965942252
0,-0.00999999999999979,0.00250000000000039,0.00250000000000039,0.00499999999999989,0.00699999999999967,0.00600000000000023,2003-11-06,-0.592711724130369
0,-0.00450000000000017,0,0.004,0,0.004,0.00250000000000039,2003-12-04,-0.363083792850606
0.00499999999999989,0.00600000000000023,0.00300000000000011,-0.00250000000000039,0.00200000000000022,0.00349999999999984,0.00199999999999978,2004-01-08,0.417618721791643
0.00299999999999967,-0.00200000000000022,0.00350000000000028,0.004,0.00499999999999989,0.00249999999999995,-0.00250000000000039,2004-02-05,-0.108054730225757
0.0250000000000001,0.0149999999999999,0.0105,0.0175000000000001,0.0179999999999998,0.02,0.0120000000000005,2004-03-04,1.94121126598028
0.0355000000000001,0.0190000000000001,0.0249999999999999,0.02,0.0174999999999996,0.00800000000000001,0.00349999999999984,2004-04-01,3.07890649923253
0.00249999999999995,0.00300000000000011,0.00999999999999979,0.00499999999999989,0.00499999999999989,0.00299999999999967,0.000500000000000611,2004-05-06,0.194768692123945
-0.00249999999999995,-0.0150000000000001,0,0,0.00249999999999995,0.00200000000000022,0,2004-06-03,-0.976150045170275
0,-0.00500000000000034,-0.00150000000000006,-0.00150000000000006,0,-0.00150000000000006,-0.00100000000000033,2004-07-01,-0.396407825690653
-0.00100000000000033,0.00200000000000022,0.00499999999999989,-0.00550000000000006,0.00249999999999995,-0.00099999999999989,-0.00100000000000033,2004-08-05,-0.101403602087711
0.00300000000000011,0.0219999999999998,-0.0175000000000001,0.00749999999999984,0,-0.004,-0.00300000000000011,2004-09-02,0.520115162496192
-0.00100000000000033,0.00300000000000011,0.00499999999999989,0.00750000000000028,0.004,0.00099999999999989,0.0024999999999995,2004-10-07,-0.099304695232852
-0.00200000000000022,-0.00200000000000022,0.00949999999999962,-0.00499999999999989,0.00300000000000011,0.00350000000000028,0,2004-11-04,-0.262399647341276
-0.012,0.00099999999999989,-0.00619999999999976,0.00249999999999995,0.00699999999999967,0.0109999999999997,0.00649999999999995,2004-12-02,-1.1880664560519
-0.00100000000000033,-0.00100000000000033,0,0.00099999999999989,0,0.00199999999999978,0.00099999999999989,2005-01-13,-0.288908440198687
