Date,DOIS2Ydy,DILS2Ydy,DLOGSTOXXdy,ConfFactor1,ConfFactor2,ConfFactor3
2002-01-03,NA,NA,0.89,1.9846102903220777,-2.0131465396121135,-0.7652036625600119
2002-02-07,0.1,NA,0.43,0.8031779882835778,0.5889356848719484,1.7140517822441599
2002-03-07,0.1,NA,0.21,0.5021546262517209,-0.819328216708419,0.7544321968372381
2002-04-04,-0.03,NA,-0.67,-0.9444702808522251,-1.1002277119484518,-1.0877917693188415
2002-05-02,0.1,NA,-0.38,2.3892315114042035,4.821020756308046,1.4517194212090105
2002-06-06,-0.02,NA,0.13,1.1807841098865446,2.646144403411524,-1.239332033763512
2002-07-04,0.06,NA,1.24,-0.08402266063609287,-1.255212339348572,0.3561544231644954
2002-09-12,-0.09,NA,-2.17,-2.191913945321681,-2.97015258226272,-0.9663721055208196
2002-10-10,0.11,NA,1.67,1.1460227384240154,2.5955453801267985,0.0781636916756826
2002-11-07,-0.03,NA,-1.59,-2.1996294623942747,-0.7259232563900325,-0.1498473600338694
2002-12-05,-0.04,NA,-0.85,-0.7091154171701769,0.5506203063669919,1.5938890644225547
2003-01-09,0.05,NA,0.75,1.7824037174553806,0.16875015932583193,0.7767747440453655
2003-02-06,-0.09,NA,-1.1,0.8887669556804565,0.39220782674962584,-0.1244966496984564
2003-03-06,-0.04,NA,-0.78,0.6450496006551784,-3.300588242852389,0.9128089113987237
2003-04-03,0.02,NA,0.45,1.113632373642635,-1.007809460970039,0.48928882307027627
2003-05-08,-0.01,NA,-1.31,2.1772506879832747,3.358605938216234,1.1201234435125562
2003-06-05,-0.08,NA,-0.53,2.1783359619219227,-8.522599909686159,-2.0165249931778058
2003-07-10,-0.04,NA,-0.56,1.11185490806191,-0.7327313134583143,0.10534763881123674
2003-09-04,-0.05,NA,-0.05,1.1444447950331222,-3.0963909721192393,0.5183915523860598
2003-10-02,0.11,NA,-0.08,0.2719040395474233,4.170446762127459,0.13504652403657552
2003-11-06,0.09,NA,0.28,0.47714322283242167,0.383199530441333,1.1450906539143366
2003-12-04,-0.06,NA,-0.01,0.53377331226403,-3.5618754231682592,-0.7301164574529764
2004-01-08,-0.01,NA,0.6,-0.11023753137690799,-1.495035901000437,-0.4988078081749311
2004-02-05,0,NA,-0.06,-0.5204001663366141,-1.7414609484883008,-1.2807657368383087
2004-03-04,-0.03,NA,0.38,1.4673777973908821,1.258639181446511,-0.47594761487702014
2004-04-01,0.08,NA,0.5,2.4380159651304045,3.931548862373385,-0.07688145204555982
2004-05-06,0.08,NA,-0.9,-1.1512383919254376,2.5088213279761282,-0.1040214845949952
2004-06-03,0,NA,0.1,1.1145138401490802,-2.8312340338934416,0.34571062185560814
2004-07-01,-0.02,NA,-0.07,-0.7297346332338416,1.462418259590923,-0.5806065252938432
2004-09-02,0.07,NA,0.31,0.23333904040130593,1.8603787475389117,0.24525051384452354
2004-10-07,0.01,NA,0.04,-1.7770011249358046,1.093490320794559,0.4159762883178035
2004-11-04,-0.02,NA,-0.02,-0.7726159396367774,1.1310181576736642,-1.030844828954047
2004-12-02,0.07,NA,0.2,1.3072081019347366,1.3971148252382712,-0.17586332935649462
2005-01-13,-0.05,NA,0.18,0.06254491980283913,-6.516696730734815,-1.6763101197347254
2005-02-03,0.01,NA,-0.17,-0.31743132484927494,-0.1315845606985689,0.43740284403681867
2005-03-03,-0.02,NA,-0.06,-0.671516121861726,-0.29585177312616623,-0.7843881303115136
2005-04-07,-0.03,0,0.2,0.11588194550860484,-2.809448622780618,-1.2521843053610047
2005-05-04,0.01,0,0.27,0.08502198518143488,1.0154583183261372,1.5612574224857034
2005-06-02,0.01,0,0.07,-0.6981038333492248,2.426549383913598,-0.6076478736375421
2005-07-07,-0.05,0,-0.73,0.4507074165302513,3.7916856579254574,1.8537154141087284
2005-09-01,-0.06,0,0.25,0.7867068322360425,-2.8075639205385907,-0.5190545464542146
2005-10-06,0.05,-0.04,-0.44,0.18292178961418565,-0.22215916668195654,-1.0350065830947164
2005-11-03,0.01,0,0.53,-0.7558817507376815,1.2486828662050393,-0.4100757726005611
2005-12-01,-0.06,-0.07,0.68,-0.6815506604037228,-2.0966852181246587,-0.15021822564523732
2006-01-12,-0.04,0,0.02,-0.7804578086187224,-2.310105947720746,-0.48736699093676333
2006-02-02,-0.01,0,-0.6,0.22115522546210944,0.5866246213354321,0.5320726380791435
2006-03-02,0.06,0,-0.49,-0.6024033544250009,5.417258868894292,3.0025583016678636
2006-04-06,-0.04,0,-0.03,-8.248158175427934,0.9957095457401632,-0.8402110841798841
2006-05-04,0.02,-0.02,0.24,0.9857130541940592,0.2355721616627914,0.27229214628766274
2006-06-08,-0.07,-0.03,-1.24,-2.8536400853479114,0.3086446641339103,1.892292930963999
2006-07-06,0.03,0.01,0.52,2.5767533052472817,0.29733993260831026,-1.1971719942730323
2006-08-03,0.07,0.02,-0.34,0.26058770913776863,3.106627948949372,0.2649433407971097
2006-08-31,-0.02,0.01,-0.1,0.4703426127239443,1.6931898865904838,-3.618628509684339
2006-10-05,0.02,0.04,0.28,0.6474583671760588,-0.4002424153309966,-0.22249673376454013
2006-11-02,0.03,-0.01,-0.43,-0.023585368505100852,0.9087353963421445,-0.16820128810754004
2006-12-07,0.04,0.01,0.18,0.4536942557543344,3.8044291891496274,0.5038907763478051
2007-01-11,-0.02,0,0.79,-2.7264409568950785,-2.789193612795763,-0.10105920305174967
2007-02-08,0.04,-0.01,-0.26,-2.6566778567755165,9.359171123286098,3.375164852380026
