"1M","3M","6M","1Y","2Y","5Y","10Y","Date","ConfFactor1","ConfFactor2","ConfFactor3"
0.0125000000000002,0.0124999999999997,0.00700000000000012,0.00500000000000034,-0.00499999999999989,-0.0105000000000004,-0.0139999999999993,2002-01-03,1.98461029032208,-2.01314653961211,-0.765203662560012
0.00499999999999989,0.00800000000000001,0.00499999999999989,0.0124999999999997,0.0145,0.024,0.0209999999999999,2002-02-07,0.803177988283578,0.588935684871948,1.71405178224416
0.00500000000000034,0,0.00200000000000022,-0.00499999999999989,-0.00499999999999989,0.00250000000000039,0.00250000000000039,2002-03-07,0.502154626251721,-0.819328216708419,0.754432196837238
-0.00749999999999984,-0.0125000000000002,-0.00999999999999979,-0.0225,-0.0299999999999994,-0.024,-0.0229999999999997,2002-04-04,-0.944470280852225,-1.10022771194845,-1.08779176931884
0.00499999999999989,0.02,0.0425,0.0700000000000003,0.0724999999999998,0.0615000000000006,0.0529999999999999,2002-05-02,2.3892315114042,4.82102075630805,1.45171942120901
0,0.00699999999999967,0.0250000000000004,0.0375000000000001,0.0279999999999996,0.0184999999999995,0.0055000000000005,2002-06-06,1.18078410988654,2.64614440341152,-1.23933203376351
0,0,-0.0100000000000002,-0.0169999999999999,-0.0120000000000005,-0.0114999999999998,-0.00450000000000017,2002-07-04,-0.0840226606360929,-1.25521233934857,0.356154423164495
-0.0150000000000001,-0.0350000000000001,-0.02,-0.0500000000000003,-0.0629999999999997,-0.0525000000000002,-0.0310000000000006,2002-09-12,-2.19191394532168,-2.97015258226272,-0.96637210552082
0.00249999999999995,0.012,0.02,0.032,0.0350000000000001,0.0285000000000002,0.0175000000000001,2002-10-10,1.14602273842402,2.5955453801268,0.0781636916756826
-0.0175000000000001,-0.0149999999999997,-0.0250000000000004,-0.0350000000000001,-0.0369999999999999,-0.0194999999999999,-0.0179999999999998,2002-11-07,-2.19962946239427,-0.725923256390033,-0.149847360033869
0.00150000000000006,-0.00450000000000017,-0.00450000000000017,-0.0150000000000001,0.00299999999999967,0.0134999999999996,0.0124999999999993,2002-12-05,-0.709115417170177,0.550620306366992,1.59388906442255
0.00900000000000034,0.0145,0.0169999999999999,0.0165000000000002,0.0195000000000003,0.02,0.0120000000000005,2003-01-09,1.78240371745538,0.168750159325832,0.776774744045366
-0.00599999999999978,0.00800000000000001,0.0139999999999998,0.00800000000000001,0.0100000000000002,0.00550000000000006,0.00349999999999984,2003-02-06,0.888766955680456,0.392207826749626,-0.124496649698456
-0.00499999999999989,0,-0.00999999999999979,-0.0145,-0.0319999999999996,-0.0204999999999997,-0.00449999999999973,2003-03-06,0.645049600655178,-3.30058824285239,0.912808911398724
0.00499999999999989,0.00450000000000017,0.00500000000000034,0.00499999999999989,-0.00200000000000022,0,0.00349999999999984,2003-04-03,1.11363237364264,-1.00780946097004,0.489288823070276
0,0.0250000000000004,0.032,0.0500000000000003,0.0575000000000001,0.0474999999999999,0.0379999999999998,2003-05-08,2.17725068798327,3.35860593821623,1.12012344351256
0.0100000000000002,0.00199999999999978,-0.0150000000000001,-0.0425,-0.0700000000000003,-0.0825,-0.0545,2003-06-05,2.17833596192192,-8.52259990968616,-2.01652499317781
0.00250000000000039,0.00749999999999984,0.00999999999999979,0,0.00249999999999995,0.00099999999999989,-0.00099999999999989,2003-07-10,1.11185490806191,-0.732731313458314,0.105347638811237
-0.00300000000000011,0.00499999999999989,0.00249999999999995,-0.0155000000000003,-0.0250000000000004,-0.0134999999999996,-0.00999999999999979,2003-09-04,1.14444479503312,-3.09639097211924,0.51839155238606
0.000500000000000167,0.00800000000000001,0.0175000000000001,0.0325000000000002,0.0425,0.0385000000000004,0.0214999999999996,2003-10-02,0.271904039547423,4.17044676212746,0.135046524036576
0.000500000000000167,0.00999999999999979,-0.00499999999999989,0.0100000000000002,0.00750000000000028,0.0150000000000001,0.0130000000000008,2003-11-06,0.477143222832422,0.383199530441333,1.14509065391434
-0.00299999999999967,0,-0.0100000000000002,-0.0245000000000002,-0.036,-0.0354999999999999,-0.0250000000000004,2003-12-04,0.53377331226403,-3.56187542316826,-0.730116457452976
0.00300000000000011,-0.00500000000000034,-0.00849999999999973,-0.0170000000000003,-0.0205000000000002,-0.0180000000000002,-0.016,2004-01-08,-0.110237531376908,-1.49503590100044,-0.498807808174931
-0.004,-0.00749999999999984,-0.0115000000000003,-0.0249999999999999,-0.028,-0.0310000000000001,-0.0255000000000001,2004-02-05,-0.520400166336614,-1.7414609484883,-1.28076573683831
0.00499999999999989,0.0105,0.0189999999999997,0.0249999999999999,0.0250000000000004,0.012,0.00800000000000001,2004-03-04,1.46737779739088,1.25863918144651,-0.47594761487702
0,0.0225,0.042,0.0600000000000001,0.0600000000000001,0.0445000000000002,0.0305,2004-04-01,2.4380159651304,3.93154886237338,-0.0768814520455598
-0.00449999999999973,-0.004,-0.00950000000000006,0.00750000000000028,0.0100000000000002,0.0110000000000001,0.00649999999999995,2004-05-06,-1.15123839192544,2.50882132797613,-0.104021484594995
-0.00349999999999984,0.0130000000000003,-0.00749999999999984,-0.0130000000000003,-0.0175000000000001,-0.0169999999999999,-0.00849999999999973,2004-06-03,1.11451384014908,-2.83123403389344,0.345710621855608
0.00099999999999989,-0.0129999999999999,0,0.00499999999999989,0,0,-0.000499999999999723,2004-07-01,-0.729734633233842,1.46241825959092,-0.580606525293843
0,0.00300000000000011,0.00950000000000006,0.0129999999999999,0.0204999999999997,0.0165000000000002,0.0124999999999993,2004-09-02,0.233339040401306,1.86037874753891,0.245250513844524
