"Date","RateFactor1","ConfFactor1","ConfFactor2","ConfFactor3","DAAA","DAA","DA","DBBB","DNFAAA","DNFAA","DNFA","DNFBBB","DEABANKBOND","DEABANKBONDSENIOR","DEABANKBONDSUB","DSTOCKBANKINDEX","DSTOCKBBROAD","DSTOCKUTIL","DSTOCKINDURANCE","DNEER","DEURUSD","SURPRISE_STD","rate_change","IT2Y_rel","IT5Y_rel","IT10_rel","FR2Y_rel","FR5Y_rel","FR10_rel","ES2Y_rel","ES5Y_rel","ES10_rel","IT2Y_conf","IT5Y_conf","IT10_conf","FR2Y_conf","FR5Y_conf","FR10_conf","ES2Y_conf","ES5Y_conf","ES10_conf","ois_de_rel_1m","ois_de_rel_3m","ois_de_rel_6m","ois_de_rel_1y","ois_de_rel_2y","ois_de_rel_5y","ois_de_rel_10y","ois_de_con_1m","ois_de_con_3m","ois_de_con_6m","ois_de_con_1y","ois_de_con_2y","ois_de_con_5y","ois_de_con_10y","STOXX50E_con","STOXX50E_rel","SX7E_con","SX7E_rel","EUR_con","EUR_rel"
2002-01-03,0.805551646593176,1.98461029032208,-2.01314653961211,-0.765203662560012,,,,,,,,,,,,,,,,,,3.02856803719063,0,-0.89999999999999,-1.29999999999999,-1.65000000000006,,,-1.85000000000004,-1.69999999999999,-1.29999999999999,-1.6,-0.550000000000006,-1.10000000000001,-1.55000000000003,,,-1.55000000000003,0.649999999999995,-1.05000000000004,-1.6,0.499999999999989,1.50000000000001,-0.249999999999995,-1.00000000000002,-1.00000000000002,-1.10000000000001,-1.6,1.25000000000002,1.24999999999997,0.700000000000012,0.500000000000034,-0.499999999999989,-1.05000000000004,-1.39999999999993,0.128386742605358,-0.25620725009432,-0.142833623140781,-0.18650240362339,-0.360300824907042,-0.105097224597502
2002-02-07,0.816127851435132,0.803177988283578,0.588935684871948,1.71405178224416,,,,,,,,,,,,,,,,,,-0.745085978841919,0,3.00000000000002,2.44999999999997,0.899999999999945,3.85,2.74999999999999,1.04999999999995,2.60000000000002,2.59999999999998,0.849999999999973,1.24999999999993,2.25,1.79999999999998,1.34999999999996,2.49999999999995,2.00000000000005,2.15000000000001,2.14999999999996,1.75000000000001,1.24999999999997,0.999999999999979,1.50000000000001,2.74999999999999,2.49999999999999,2.50000000000004,0.950000000000007,0.499999999999989,0.800000000000001,0.499999999999989,1.24999999999997,1.45,2.4,2.09999999999999,0.174902907980545,0.32887093061067,-0.00762311328310616,0.233408053315198,0.0922988239739075,-0.0115393491935095
2002-03-07,-0.107033854369197,0.502154626251721,-0.819328216708419,0.754432196837238,,,,,,,,,,,,,,,,,,0.0984284612086954,0,0.549999999999962,0.0999999999999446,-0.300000000000011,,-0.600000000000023,-0.399999999999956,0.800000000000001,0.100000000000033,-0.349999999999984,-0.250000000000039,-0.299999999999922,0.150000000000006,,-0.399999999999956,0.499999999999989,-0.600000000000023,-0.199999999999978,0.150000000000006,-0.250000000000039,0.999999999999979,0.499999999999989,0.999999999999979,1.24999999999993,0.150000000000006,-0.199999999999978,0.500000000000034,0,0.200000000000022,-0.499999999999989,-0.499999999999989,0.250000000000039,0.250000000000039,0.162220963651727,-0.0226412313583779,0.232591026762829,-0.148132499841758,0.34209509387374,-0.108425838795861
2002-04-04,0.0339109104762288,-0.944470280852225,-1.10022771194845,-1.08779176931884,,,,,,,,,,,,,,,,,,4.61926515703199,0,0.549999999999962,-0.199999999999978,-0.400000000000045,0.100000000000033,,-0.399999999999956,-0.0500000000000167,-0.100000000000033,-0.450000000000017,-2.25,-2.14999999999996,-2.44999999999997,-3.35000000000001,,-2.4,-2.29999999999997,-2.85000000000002,-2.55000000000001,0,0.499999999999989,0.500000000000034,0,0.500000000000078,-0.24999999999995,-0.150000000000006,-0.749999999999984,-1.25000000000002,-0.999999999999979,-2.25,-2.99999999999994,-2.4,-2.29999999999997,-0.277004370022027,0.0599711508121104,-0.296041524299806,0.0791615797933964,0.294400937314283,-0.0226731664048047
2002-05-02,0.582897904663786,2.3892315114042,4.82102075630805,1.45171942120901,,,,,,,,,,,,,,,,,,0.696803615325937,0,0.600000000000023,0.250000000000039,0.300000000000011,0.699999999999967,0.150000000000006,0.399999999999956,0.849999999999973,0.499999999999989,0.199999999999978,7.50000000000002,6.30000000000006,3.95000000000003,7.15000000000003,6.44999999999998,4.39999999999996,7.7,6.70000000000002,4.39999999999996,0.999999999999979,0,0.499999999999989,0.449999999999973,0,0.349999999999984,0.300000000000011,0.499999999999989,2,4.25,7.00000000000003,7.24999999999998,6.15000000000006,5.29999999999999,-0.139842489408437,-0.102078598160205,-0.182383190248014,-0.0708490102341308,0.243309122464157,-0.00553541280482323
2002-06-06,-1.8474294080088,1.18078410988654,2.64614440341152,-1.23933203376351,,,,,,,,,,,,,,,,,,-1.26244693796431,0,-1.19999999999996,0.0500000000000611,0.55000000000005,-0.349999999999984,0.199999999999978,0.450000000000017,-1.80000000000002,-0.349999999999984,0.100000000000033,3.35000000000001,1.75000000000001,0.55000000000005,3.00000000000002,1.25000000000002,0.800000000000001,4.09999999999999,1.90000000000001,0.750000000000028,-2,-0.999999999999979,-0.700000000000012,-1.50000000000001,-0.999999999999979,0.350000000000072,0.250000000000039,0,0.699999999999967,2.50000000000004,3.75000000000001,2.79999999999996,1.84999999999995,0.55000000000005,-0.347317392870039,0.0452035977707155,-0.244243586136772,0.0636559769700007,0.525911594894285,-0.0532453023601317
2002-07-04,-0.514872788488059,-0.0840226606360929,-1.25521233934857,0.356154423164495,,,,,,,,,,,,,,,,,,-0.280783202063387,0,0.649999999999995,0.450000000000017,0,,0.150000000000006,0.150000000000006,0.999999999999979,0.499999999999989,0,-0.649999999999995,-1.25000000000002,-0.499999999999989,,-0.950000000000007,-0.449999999999928,-2.30000000000001,-1.05000000000004,-0.450000000000017,0,-0.749999999999984,0.249999999999995,0.200000000000022,0.499999999999989,0.350000000000072,0.0999999999999446,0,0,-1.00000000000002,-1.69999999999999,-1.20000000000005,-1.14999999999998,-0.450000000000017,-0.155176673883517,-0.00299867558517519,-0.204363838632471,-0.0799680170564976,-0.0511012326517065,0.102312265933258
2002-08-01,0.744594325636568,,,,,,,,,,,,,,,,,,,,,0.774148583660342,0,-0.700000000000012,-0.250000000000039,-0.750000000000028,-1.6,-0.750000000000028,-0.600000000000023,-1.05,-0.349999999999984,-0.600000000000023,,,,,,,,,,1.25000000000002,0,-0.300000000000011,-0.200000000000022,-0.999999999999979,-0.400000000000045,-0.549999999999962,,,,,,,,,-0.526377316919646,,-0.30394470742019,,0.092336109976884
2002-09-12,-0.51723403779932,-2.19191394532168,-2.97015258226272,-0.96637210552082,,,,,,,,,,,,,,,,,,1.55487847863228,0,0.649999999999995,0,-0.199999999999978,,0,-0.200000000000067,0.4,0.4,-0.0999999999999446,-5.60000000000001,-4.8,-3.25000000000006,,-4.8,-3.30000000000004,-5.29999999999999,-5.05,-3.09999999999997,-0.249999999999995,-0.0499999999999723,-0.249999999999995,1.00000000000002,0.499999999999989,0.0499999999999723,0,-1.50000000000001,-3.50000000000001,-2,-5.00000000000003,-6.29999999999997,-5.25000000000002,-3.10000000000006,-1.15279513297306,0.19856722268754,-0.953048668798839,0.151724782553586,0.0256390535465965,0.0102427532610395
2002-10-10,2.92381652481265,1.14602273842402,2.5955453801268,0.0781636916756826,,,,,,,,,,,,,,,,,,-1.43664784179579,0,-0.749999999999984,-0.89999999999999,-0.950000000000007,-1.05,-1.15000000000003,-1.10000000000001,-0.800000000000001,-1.05,-0.899999999999945,4.29999999999997,3.05,1.79999999999998,4.70000000000002,2.95000000000001,2.00000000000005,4.40000000000001,3.30000000000004,1.64999999999997,2.99999999999998,1.75000000000001,1.29999999999999,0,-1.24999999999997,-0.950000000000007,-1.10000000000001,0.249999999999995,1.2,2,3.2,3.50000000000001,2.85000000000002,1.75000000000001,0.763963503790865,-0.386377659286463,0.78561749426429,-0.386396874383177,-0.0911669431053075,0.00506290661576852
